english_name,chinese_name,bilingual_name
opensmile_mfcc1_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1_sma3_stddevNorm
opensmile_mfcc2_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2_sma3_amean
opensmile_mfcc2_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2_sma3_stddevNorm
opensmile_mfcc3_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3_sma3_amean
opensmile_mfcc3_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3_sma3_stddevNorm
opensmile_mfcc4_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4_sma3_amean
opensmile_mfcc4_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4_sma3_stddevNorm
opensmile_jitterLocal_sma3nz_amean,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / opensmile_jitterLocal_sma3nz_amean
opensmile_jitterLocal_sma3nz_stddevNorm,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / opensmile_jitterLocal_sma3nz_stddevNorm
opensmile_shimmerLocaldB_sma3nz_amean,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / opensmile_shimmerLocaldB_sma3nz_amean
opensmile_shimmerLocaldB_sma3nz_stddevNorm,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / opensmile_shimmerLocaldB_sma3nz_stddevNorm
opensmile_HNRdBACF_sma3nz_amean,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / opensmile_HNRdBACF_sma3nz_amean
opensmile_HNRdBACF_sma3nz_stddevNorm,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / opensmile_HNRdBACF_sma3nz_stddevNorm
opensmile_logRelF0-H1-H2_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-H2_sma3nz_amean
opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-H2_sma3nz_stddevNorm
opensmile_logRelF0-H1-A3_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-A3_sma3nz_amean
opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-A3_sma3nz_stddevNorm
opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_amean / opensmile_F1frequency_sma3nz_amean
opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_stddevNorm / opensmile_F1frequency_sma3nz_stddevNorm
opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_amean / opensmile_F1bandwidth_sma3nz_amean
opensmile_F1bandwidth_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_stddevNorm / opensmile_F1bandwidth_sma3nz_stddevNorm
opensmile_F1amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F1amplitudeLogRelF0_sma3nz_amean
opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm
opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_amean / opensmile_F2frequency_sma3nz_amean
opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_stddevNorm / opensmile_F2frequency_sma3nz_stddevNorm
opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_amean / opensmile_F2bandwidth_sma3nz_amean
opensmile_F2bandwidth_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_stddevNorm / opensmile_F2bandwidth_sma3nz_stddevNorm
opensmile_F2amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F2amplitudeLogRelF0_sma3nz_amean
opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm
opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_amean / opensmile_F3frequency_sma3nz_amean
opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_stddevNorm / opensmile_F3frequency_sma3nz_stddevNorm
opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_amean / opensmile_F3bandwidth_sma3nz_amean
opensmile_F3bandwidth_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_stddevNorm / opensmile_F3bandwidth_sma3nz_stddevNorm
opensmile_F3amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F3amplitudeLogRelF0_sma3nz_amean
opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm
opensmile_alphaRatioV_sma3nz_amean,频谱Alpha比率相关指标,频谱Alpha比率相关指标 / opensmile_alphaRatioV_sma3nz_amean
opensmile_alphaRatioV_sma3nz_stddevNorm,频谱Alpha比率相关指标,频谱Alpha比率相关指标 / opensmile_alphaRatioV_sma3nz_stddevNorm
opensmile_hammarbergIndexV_sma3nz_amean,Hammarberg频谱指数相关指标,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexV_sma3nz_amean
opensmile_hammarbergIndexV_sma3nz_stddevNorm,Hammarberg频谱指数相关指标,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexV_sma3nz_stddevNorm
opensmile_slopeV0-500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV0-500_sma3nz_amean
opensmile_slopeV0-500_sma3nz_stddevNorm,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV0-500_sma3nz_stddevNorm
opensmile_slopeV500-1500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV500-1500_sma3nz_amean
opensmile_slopeV500-1500_sma3nz_stddevNorm,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV500-1500_sma3nz_stddevNorm
opensmile_spectralFluxV_sma3nz_amean,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFluxV_sma3nz_amean
opensmile_spectralFluxV_sma3nz_stddevNorm,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFluxV_sma3nz_stddevNorm
opensmile_mfcc1V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1V_sma3nz_amean
opensmile_mfcc1V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1V_sma3nz_stddevNorm
opensmile_mfcc2V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2V_sma3nz_amean
opensmile_mfcc2V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2V_sma3nz_stddevNorm
opensmile_mfcc3V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3V_sma3nz_amean
opensmile_mfcc3V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3V_sma3nz_stddevNorm
opensmile_mfcc4V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4V_sma3nz_amean
opensmile_mfcc4V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4V_sma3nz_stddevNorm
opensmile_alphaRatioUV_sma3nz_amean,频谱Alpha比率相关指标,频谱Alpha比率相关指标 / opensmile_alphaRatioUV_sma3nz_amean
opensmile_hammarbergIndexUV_sma3nz_amean,Hammarberg频谱指数相关指标,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexUV_sma3nz_amean
opensmile_slopeUV0-500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeUV0-500_sma3nz_amean
opensmile_slopeUV500-1500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeUV500-1500_sma3nz_amean
opensmile_spectralFluxUV_sma3nz_amean,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFluxUV_sma3nz_amean
opensmile_loudnessPeaksPerSec,响度相关指标,响度相关指标 / opensmile_loudnessPeaksPerSec
opensmile_VoicedSegmentsPerSec,浊音或发声相关指标,浊音或发声相关指标 / opensmile_VoicedSegmentsPerSec
opensmile_MeanVoicedSegmentLengthSec,浊音或发声相关指标,浊音或发声相关指标 / opensmile_MeanVoicedSegmentLengthSec
opensmile_StddevVoicedSegmentLengthSec,浊音或发声相关指标,浊音或发声相关指标 / opensmile_StddevVoicedSegmentLengthSec
opensmile_MeanUnvoicedSegmentLength,浊音或发声相关指标,浊音或发声相关指标 / opensmile_MeanUnvoicedSegmentLength
opensmile_StddevUnvoicedSegmentLength,浊音或发声相关指标,浊音或发声相关指标 / opensmile_StddevUnvoicedSegmentLength
opensmile_equivalentSoundLevel_dBp,opensmile_equivalentSoundLevel_dBp,opensmile_equivalentSoundLevel_dBp / opensmile_equivalentSoundLevel_dBp
