english_name,chinese_name,bilingual_name
librosa_mfcc5_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_min
librosa_mfcc5_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_max
librosa_mfcc6_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_mean
librosa_mfcc6_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_std
librosa_mfcc6_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_min
librosa_mfcc6_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_max
librosa_mfcc7_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_mean
librosa_mfcc7_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_std
librosa_mfcc7_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_min
librosa_mfcc7_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_max
librosa_mfcc8_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_mean
librosa_mfcc8_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_std
librosa_mfcc8_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_min
librosa_mfcc8_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_max
librosa_mfcc9_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_mean
librosa_mfcc9_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_std
librosa_mfcc9_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_min
librosa_mfcc9_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_max
librosa_mfcc10_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_mean
librosa_mfcc10_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_std
librosa_mfcc10_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_min
librosa_mfcc10_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_max
librosa_mfcc11_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_mean
librosa_mfcc11_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_std
librosa_mfcc11_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_min
librosa_mfcc11_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_max
librosa_mfcc12_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_mean
librosa_mfcc12_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_std
librosa_mfcc12_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_min
librosa_mfcc12_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_max
librosa_mfcc13_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_mean
librosa_mfcc13_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_std
librosa_mfcc13_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_min
librosa_mfcc13_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_max
scipy_psd_mean,scipy_psd_mean,scipy_psd_mean / scipy_psd_mean
scipy_psd_std,scipy_psd_std,scipy_psd_std / scipy_psd_std
scipy_psd_min,scipy_psd_min,scipy_psd_min / scipy_psd_min
scipy_psd_max,scipy_psd_max,scipy_psd_max / scipy_psd_max
scipy_bandpower_0_250_hz,scipy_bandpower_0_250_hz,scipy_bandpower_0_250_hz / scipy_bandpower_0_250_hz
scipy_bandpower_250_500_hz,scipy_bandpower_250_500_hz,scipy_bandpower_250_500_hz / scipy_bandpower_250_500_hz
scipy_bandpower_500_1000_hz,scipy_bandpower_500_1000_hz,scipy_bandpower_500_1000_hz / scipy_bandpower_500_1000_hz
scipy_bandpower_1000_2000_hz,scipy_bandpower_1000_2000_hz,scipy_bandpower_1000_2000_hz / scipy_bandpower_1000_2000_hz
scipy_bandpower_2000_4000_hz,scipy_bandpower_2000_4000_hz,scipy_bandpower_2000_4000_hz / scipy_bandpower_2000_4000_hz
scipy_bandpower_4000_8000_hz,scipy_bandpower_4000_8000_hz,scipy_bandpower_4000_8000_hz / scipy_bandpower_4000_8000_hz
lpcc1,lpcc1,lpcc1 / lpcc1
lpcc2,lpcc2,lpcc2 / lpcc2
lpcc3,lpcc3,lpcc3 / lpcc3
lpcc4,lpcc4,lpcc4 / lpcc4
lpcc5,lpcc5,lpcc5 / lpcc5
lpcc6,lpcc6,lpcc6 / lpcc6
lpcc7,lpcc7,lpcc7 / lpcc7
lpcc8,lpcc8,lpcc8 / lpcc8
lpcc9,lpcc9,lpcc9 / lpcc9
lpcc10,lpcc10,lpcc10 / lpcc10
lpcc11,lpcc11,lpcc11 / lpcc11
lpcc12,lpcc12,lpcc12 / lpcc12
lpcc13,lpcc13,lpcc13 / lpcc13
